-1648.3270, -1764.0999, 664.0676
 -1610.6835, -1721.7029, 554.5473
 -1606.9988, -1715.9626, 462.4316
 -1622.5215, -1731.9318, 377.1547
 -1608.3462, -1714.2799, 286.1662
 -1586.3679, -1689.5538, 197.7899
 -1591.0481, -1692.9388, 113.1380
 -1564.0929, -1662.8030, 28.0906
 -1555.1045, -1655.3883, -57.6506
 -1560.2627, -1655.4863, -137.0651
 -1538.5833, -1631.5133, -216.6450
 -1530.8035, -1621.9017, -297.6158
 -1538.4663, -1628.8245, -382.8590
 -1524.1799, -1611.6134, -462.9622
 -1506.7788, -1591.6549, -542.9705
 -1491.9767, -1575.5232, -624.7375
 -1675.0225, -1770.7638, 670.4325
 -1645.3146, -1737.2311, 562.7899
 -1625.5985, -1714.6146, 464.7476
 -1624.9624, -1713.3445, 375.2712
 -1618.8341, -1704.3794, 286.1662
 -1613.1801, -1697.1206, 199.8307
 -1609.6677, -1691.8279, 113.7217
 -1607.3651, -1687.9324, 28.6812
 -1590.0338, -1671.8933, -58.5640
 -1586.9290, -1663.2142, -138.5085
 -1556.8132, -1630.6813, -217.7989
 -1548.9432, -1621.0786, -299.2031
 -1548.4318, -1619.3540, -382.8590
 -1542.1638, -1610.7156, -465.4139
 -1532.6355, -1599.1984, -548.7416
 -1533.5369, -1599.6357, -638.0181
 -1701.8612, -1777.1659, 676.7974
 -1664.0273, -1735.5344, 565.5375
 -1668.7018, -1738.5865, 474.0117
 -1651.8607, -1720.4393, 379.0381
 -1662.2872, -1728.7606, 291.9669
 -1615.2723, -1678.5750, 198.8103
 -1620.0178, -1681.9197, 113.7217
 -1601.0361, -1660.7610, 28.3859
 -1591.9421, -1653.4637, -58.2595
 -1597.1042, -1653.4456, -138.5085
 -1566.7893, -1621.0985, -217.7989
 -1575.4005, -1628.6427, -302.3777
 -1558.3387, -1609.8224, -382.8590
 -1552.0179, -1601.2229, -465.4139
 -1550.5299, -1598.1241, -551.6272
 -1543.3231, -1590.1959, -638.0181
 -1704.6796, -1758.3829, 673.6149
 -1707.1888, -1758.8196, 576.5276
 -1687.5435, -1736.7595, 476.3277
 -1687.1669, -1735.7659, 384.6884
 -1656.2456, -1701.4570, 289.0665
 -1658.9146, -1702.8898, 202.8920
 -1655.4105, -1697.6920, 115.4727
 -1619.5765, -1659.4937, 28.5336
 -1635.5502, -1678.0269, -59.4775
 -1607.2196, -1643.6149, -138.5085
 -1576.7065, -1611.4543, -217.7989
 -1585.3641, -1618.9454, -302.3777
 -1576.4662, -1608.6786, -384.8803
 -1586.4955, -1616.8234, -472.7690
 -1560.3068, -1588.5800, -551.6272
 -1553.0514, -1580.6963, -638.0181
 -1739.7501, -1772.6635, 683.1622
 -1709.7614, -1739.9794, 573.7802
 -1698.1682, -1726.3723, 476.3277
 -1697.7858, -1725.3811, 384.6884
 -1691.7377, -1716.7162, 293.4170
 -1686.1234, -1709.7048, 204.9328
 -1657.3762, -1678.9728, 114.8891
 -1638.1617, -1658.0604, 28.6812
 -1637.3899, -1659.4208, -59.1730
 -1617.2745, -1633.7220, -138.5085
 -1620.1873, -1635.6938, -222.4145
 -1620.3903, -1634.5288, -307.1395
 -1602.9686, -1615.7697, -388.9228
 -1588.1077, -1598.7245, -470.3173
 -1586.4504, -1595.4957, -557.3984
 -1578.9854, -1587.4891, -644.6583
 -1766.9041, -1778.3708, 689.5271
 -1761.5961, -1770.8635, 587.5179
 -1725.3457, -1732.6063, 480.9597
 -1691.6125, -1698.1387, 380.9215
 -1702.2394, -1706.3033, 293.4170
 -1705.0298, -1707.7882, 205.9532
 -1667.6470, -1668.7716, 114.8891
 -1673.7611, -1673.4291, 29.1242
 -1656.0190, -1657.8298, -59.4775
 -1661.1844, -1657.6113, -141.3953
 -1630.1931, -1625.7219, -222.4145
 -1621.9634, -1616.1599, -305.5522
 -1612.8523, -1605.9041, -388.9228
 -1614.5465, -1605.5157, -475.2207
 -1596.2103, -1585.7313, -557.3984
 -1596.8784, -1585.8966, -647.9785
 -1753.1671, -1743.0228, 679.9798
 -1772.4286, -1760.0214, 587.5179
 -1735.9437, -1721.9878, 480.9597
 -1752.4923, -1737.7958, 392.2220
 -1721.1417, -1704.2079, 294.8672
 -1740.9750, -1722.5225, 209.0144
 -1703.4276, -1683.7856, 116.6401
 -1701.0723, -1679.9907, 29.4195
 -1683.2197, -1664.5074, -60.0865
 -1688.3856, -1664.2043, -142.8387
 -1631.6285, -1607.3062, -221.2606
 -1648.8036, -1622.8649, -308.7268
 -1639.5417, -1612.5664, -392.9653
 -1615.9872, -1587.3472, -472.7690
 -1622.5374, -1592.2238, -563.1696
 -1623.0428, -1592.2195, -654.6187
 -1796.8494, -1764.6614, 692.7095
 -1783.1947, -1749.1128, 587.5179
 -1763.2970, -1727.7849, 485.5918
 -1771.5881, -1735.3032, 394.1054
 -1731.5663, -1693.6152, 294.8672
 -1751.5114, -1711.8076, 209.0144
 -1730.8785, -1690.0488, 117.8075
 -1728.5264, -1686.2795, 29.7148
 -1710.5642, -1670.9131, -60.6955
 -1681.4009, -1637.1011, -141.3953
 -1675.7018, -1630.5842, -225.8762
 -1675.7865, -1629.3007, -311.9014
 -1666.3732, -1618.9608, -397.0078
 -1650.9883, -1601.9423, -480.1241
 -1657.3671, -1606.5594, -571.8263
 -1641.0627, -1590.2559, -657.9388
 -1849.1666, -1793.8848, 708.6217
